route_id,trip_id,direction_id,stop_headsign,start_time,end_time
JAK.25,JAK.25-L02,0,Kalisari,05:00:00,22:00:00
JAK.25,JAK.25-L02,0,Pasar Rebo,05:00:00,22:00:00
JAK.26,JAK.26-L01,0,Duren Sawit,05:00:00,22:00:00
JAK.26,JAK.26-L01,0,Rawamangun,05:00:00,22:00:00
JAK.27,JAK.27-R01,0,Pulo Gebang,05:00:00,22:00:00
JAK.27,JAK.27-R01,0,Rorotan,05:00:00,22:00:00
JAK.27,JAK.27-R02,1,Pulo Gebang,05:00:00,22:00:00
JAK.27,JAK.27-R02,1,Rorotan,05:00:00,22:00:00
JAK.28,JAK.28-R05,0,Cibubur,05:00:00,22:00:00
JAK.29,JAK.29-R03,0,Sukapura,05:00:00,22:00:00
JAK.29,JAK.29-R03,0,Tanjung Priok,05:00:00,22:00:00
JAK.29,JAK.29-R04,1,Sukapura,05:00:00,22:00:00
JAK.29,JAK.29-R04,1,Tanjung Priok,05:00:00,22:00:00
JAK.30,JAK.30-R01,0,Grogol Via Roxy,05:00:00,22:00:00
JAK.30,JAK.30-R01,0,Meruya Via Roxy,05:00:00,22:00:00
JAK.30,JAK.30-R02,1,Grogol Via Roxy,05:00:00,22:00:00
JAK.30,JAK.30-R02,1,Meruya Via Roxy,05:00:00,22:00:00
JAK.31,JAK.31-R01,0,Andara,05:00:00,22:00:00
JAK.31,JAK.31-R01,0,Blok M,05:00:00,22:00:00
JAK.31,JAK.31-R02,1,Andara,05:00:00,22:00:00
JAK.31,JAK.31-R02,1,Blok M,05:00:00,22:00:00
JAK.32,JAK.32-L01,0,Lebak Bulus,05:00:00,22:00:00
JAK.32,JAK.32-L01,0,Petukangan,05:00:00,22:00:00
JAK.34,JAK.34-L02,0,Klender,05:00:00,22:00:00
JAK.34,JAK.34-L02,0,Rawamangun,05:00:00,22:00:00
JAK.35,JAK.35-R05,0,Pangkalan Jati,05:00:00,22:00:00
JAK.35,JAK.35-R05,0,Rawamangun,05:00:00,22:00:00
JAK.35,JAK.35-R03,1,Pangkalan Jati,05:00:00,22:00:00
JAK.35,JAK.35-R03,1,Rawamangun,05:00:00,22:00:00
JAK.36,JAK.36-L02,0,Cilangkap,00:00:00,23:59:00
JAK.36,JAK.36-L02,0,Cililitan,00:00:00,23:59:00
JAK.37,JAK.37-R01,0,Cililitan,05:00:00,22:00:00
JAK.37,JAK.37-R01,0,Cililitan via Kayu Manis,05:00:00,22:00:00
JAK.37,JAK.37-R01,0,Condet,05:00:00,22:00:00
JAK.37,JAK.37-R01,0,Condet via Kayu Manis,05:00:00,22:00:00
JAK.37,JAK.37-R03,1,Cililitan,05:00:00,22:00:00
JAK.37,JAK.37-R03,1,Cililitan via Kayu Manis,05:00:00,22:00:00
JAK.37,JAK.37-R03,1,Condet,05:00:00,22:00:00
JAK.37,JAK.37-R03,1,Condet via Kayu Manis,05:00:00,22:00:00
JAK.38,JAK.38-R01,0,Bulak Ringin,05:00:00,22:00:00
JAK.38,JAK.38-R01,0,Kampung Rambutan,05:00:00,22:00:00
JAK.38,JAK.38-R02,1,Bulak Ringin,05:00:00,22:00:00
JAK.38,JAK.38-R02,1,Kampung Rambutan,05:00:00,22:00:00
JAK.39,JAK.39-L02,0,Duren Sawit,05:00:00,22:00:00
JAK.39,JAK.39-L02,0,Kalimalang,05:00:00,22:00:00
JAK.40,JAK.40-L04,0,Harapan Baru,05:00:00,22:00:00
JAK.40,JAK.40-L04,0,Pulo Gebang,05:00:00,22:00:00
JAK.40,JAK.40-L04,0,Pulo Gebang Via Rawa Kuning,05:00:00,22:00:00
JAK.41,JAK.41-R01,0,Kampung Melayu,05:00:00,22:00:00
JAK.41,JAK.41-R01,0,Pulo Gadung,05:00:00,22:00:00
JAK.41,JAK.41-R02,1,Kampung Melayu,05:00:00,22:00:00
JAK.41,JAK.41-R02,1,Pulo Gadung,05:00:00,22:00:00
JAK.42,JAK.42-R03,0,Kampung Melayu,05:00:00,22:00:00
JAK.42,JAK.42-R03,0,Pondok Kelapa,05:00:00,22:00:00
JAK.42,JAK.42-R04,1,Kampung Melayu,05:00:00,22:00:00
JAK.42,JAK.42-R04,1,Pondok Kelapa,05:00:00,22:00:00
JAK.43B,JAK.43B-L01,0,Cililitan,05:00:00,22:00:00
JAK.43B,JAK.43B-L01,0,Tongtek,05:00:00,22:00:00
JAK.43B,JAK.43B-L01,0,Tongtek via Tebet Eco Park (TEP),05:00:00,22:00:00
JAK.43C,JAK.43C-L01,0,Sarana Jaya,05:00:00,22:00:00
JAK.43C,JAK.43C-L01,0,St. Cawang,05:00:00,22:00:00
JAK.44,JAK.44-L01,0,Andara,05:00:00,22:00:00
JAK.44,JAK.44-L01,0,St. Universitas Pancasila,05:00:00,22:00:00
JAK.45,JAK.45-L01,0,Lebak Bulus,05:00:00,22:00:00
JAK.45,JAK.45-L01,0,Ragunan,05:00:00,22:00:00
JAK.46,JAK.46-R08,0,Jagakarsa,05:00:00,22:00:00
JAK.46,JAK.46-R08,0,Pasar Minggu,05:00:00,22:00:00
JAK.46,JAK.46-R07,1,Jagakarsa,05:00:00,22:00:00
JAK.46,JAK.46-R07,1,Pasar Minggu,05:00:00,22:00:00
JAK.47,JAK.47-R05,0,Ciganjur via KB Ragunan,00:00:00,23:59:00
JAK.47,JAK.47-R05,0,Pasar Minggu via KB Ragunan,00:00:00,23:59:00
JAK.47,JAK.47-R06,1,Ciganjur via KB Ragunan,00:00:00,23:59:00
JAK.47,JAK.47-R06,1,Pasar Minggu via KB Ragunan,00:00:00,23:59:00
JAK.48A,JAK.48A-R01,0,Rusun Karet Tengsin,05:00:00,22:00:00
JAK.48A,JAK.48A-R01,0,St. Tebet,05:00:00,22:00:00
JAK.48A,JAK.48A-R01,0,Stasiun Tebet,05:00:00,22:00:00
JAK.48A,JAK.48A-R01,0,TPU Karet Bivak,05:00:00,22:00:00
JAK.48A,JAK.48A-R02,1,Rusun Karet Tengsin,05:00:00,22:00:00
JAK.48A,JAK.48A-R02,1,St. Tebet,05:00:00,22:00:00
JAK.48A,JAK.48A-R02,1,Stasiun Tebet,05:00:00,22:00:00
JAK.48A,JAK.48A-R02,1,TPU Karet Bivak,05:00:00,22:00:00
JAK.50,JAK.50-L02,0,Kalideres,05:00:00,22:00:00
JAK.50,JAK.50-L02,0,Puri Kembangan,05:00:00,22:00:00
JAK.51,JAK.51-L02,0,Budi Luhur,05:00:00,22:00:00
JAK.51,JAK.51-L02,0,Jabon,05:00:00,22:00:00
JAK.51,JAK.51-L02,0,Taman Kota,05:00:00,22:00:00
JAK.51,JAK.51-L02,0,Taman Kota dan Jabon,05:00:00,22:00:00
JAK.52,JAK.52-R06,0,Terminal Kalideres,00:00:00,23:59:00
JAK.52,JAK.52-R06,0,Terminal Muara Angke,00:00:00,23:59:00
JAK.52,JAK.52-R07,1,Terminal Kalideres,00:00:00,23:59:00
JAK.52,JAK.52-R07,1,Terminal Muara Angke,00:00:00,23:59:00
JAK.53,JAK.53-L03,0,Grogol,05:00:00,22:00:00
JAK.53,JAK.53-L03,0,Grogol Via Slipi,05:00:00,22:00:00
JAK.53,JAK.53-L03,0,Pos Pengumben,05:00:00,22:00:00
JAK.54,JAK.54-L01,0,Bendungan Hilir,05:00:00,22:00:00
JAK.54,JAK.54-L01,0,Grogol,05:00:00,22:00:00
JAK.56,JAK.56-L02,0,Grogol,05:00:00,22:00:00
JAK.56,JAK.56-L02,0,Srengseng,05:00:00,22:00:00
JAK.58,JAK.58-R02,1,Cilincing,05:00:00,22:00:00
JAK.59,JAK.59-R03,0,Rawamangun,05:00:00,22:00:00
JAK.59,JAK.59-R03,0,Rawasengon,05:00:00,22:00:00
JAK.59,JAK.59-R03,0,Tanah Merah,05:00:00,22:00:00
JAK.59,JAK.59-R04,1,Rawamangun,05:00:00,22:00:00
JAK.59,JAK.59-R04,1,Rawasengon,05:00:00,22:00:00
JAK.59,JAK.59-R04,1,Tanah Merah,05:00:00,22:00:00
JAK.60,JAK.60-L02,0,Kelapa Gading,05:00:00,22:00:00
JAK.60,JAK.60-L02,0,Rusun Kemayoran,05:00:00,22:00:00
JAK.61,JAK.61-L02,0,Cempaka Putih,05:00:00,22:00:00
JAK.61,JAK.61-L02,0,Pulo Gadung,05:00:00,22:00:00
JAK.64,JAK.64-L01,0,Aseli,05:00:00,22:00:00
JAK.64,JAK.64-L01,0,Lenteng Agung,05:00:00,22:00:00
JAK.71,JAK.71-R01,0,Kampung Rambutan,05:00:00,22:00:00
JAK.71,JAK.71-R01,0,Pinang Ranti,05:00:00,22:00:00
JAK.71,JAK.71-R02,1,Kampung Rambutan,05:00:00,22:00:00
JAK.71,JAK.71-R02,1,Pinang Ranti,05:00:00,22:00:00
JAK.72,JAK.72-R01,0,Kampung Rambutan Via Poncol,05:00:00,22:00:00
JAK.72,JAK.72-R01,0,Pasar Rebo Via Poncol,05:00:00,22:00:00
JAK.72,JAK.72-R02,1,Kampung Rambutan Via Poncol,05:00:00,22:00:00
JAK.72,JAK.72-R02,1,Pasar Rebo Via Poncol,05:00:00,22:00:00
JAK.73,JAK.73-R05,0,Jambore,05:00:00,22:00:00
JAK.73,JAK.73-R05,0,Pasar Rebo,05:00:00,22:00:00
JAK.73,JAK.73-R06,1,Jambore,05:00:00,22:00:00
JAK.73,JAK.73-R06,1,Pasar Rebo,05:00:00,22:00:00
JAK.74,JAK.74-L01,0,Cipinang Muara,05:00:00,22:00:00
JAK.74,JAK.74-L01,0,Rawamangun,05:00:00,22:00:00
JAK.75,JAK.75-R01,0,Cililitan,00:00:00,23:59:00
JAK.75,JAK.75-R01,0,Kampung Pulo,00:00:00,23:59:00
JAK.75,JAK.75-R03,1,Cililitan,00:00:00,23:59:00
JAK.75,JAK.75-R03,1,Kampung Pulo,00:00:00,23:59:00
JAK.76,JAK.76-L01,0,ASMI,05:00:00,22:00:00
JAK.76,JAK.76-L01,0,Jln. Industri Raya,05:00:00,22:00:00
JAK.76,JAK.76-L01,0,Perintis Kemerdekaan,05:00:00,22:00:00
JAK.77,JAK.77-R01,0,Jembatan Item,05:00:00,22:00:00
JAK.77,JAK.77-R01,0,Tanjung Priok,05:00:00,22:00:00
JAK.77,JAK.77-R02,1,Jembatan Item,05:00:00,22:00:00
JAK.77,JAK.77-R02,1,Tanjung Priok,05:00:00,22:00:00
JAK.80,JAK.80-R01,0,Rawa Buaya,05:00:00,22:00:00
JAK.80,JAK.80-R01,0,Rawa Kompeni,05:00:00,22:00:00
JAK.80,JAK.80-R03,1,Rawa Buaya,05:00:00,22:00:00
JAK.80,JAK.80-R03,1,Rawa Kompeni,05:00:00,22:00:00
JAK.84,JAK.84-L03,0,Kampung Melayu,05:00:00,22:00:00
JAK.84,JAK.84-L03,0,Kapin,05:00:00,22:00:00
JAK.85,JAK.85-L02,0,Bintara,05:00:00,22:00:00
JAK.85,JAK.85-L02,0,Cipinang Indah,05:00:00,22:00:00
JAK.86,JAK.86-L01,0,Term. Manggarai,05:00:00,22:00:00
JAK.86,JAK.86-L01,0,Term. Rawamangun,05:00:00,22:00:00
JAK.87,JAK.87-L01,0,Term. Rawamangun,05:00:00,22:00:00
JAK.87,JAK.87-L01,0,Term. Tanjung Priok,05:00:00,22:00:00
JAK.88,JAK.88-L02,0,Ancol Barat,05:00:00,22:00:00
JAK.88,JAK.88-L02,0,Tanjung Priok,05:00:00,22:00:00
JAK.88,JAK.88-L02,0,Term. Tanjung Priok,05:00:00,22:00:00
JAK.89,JAK.89-L01,0,Taman Kota Intan,05:00:00,22:00:00
JAK.89,JAK.89-L01,0,Term. Tanjung Priok,05:00:00,22:00:00
JAK.90,JAK.90-L01,0,Rusun Kemayoran,05:00:00,22:00:00
JAK.90,JAK.90-L01,0,Tanjung Priok,05:00:00,22:00:00
JAK.93,JAK.93-L02,0,Jeruk Purut,05:00:00,22:00:00
JAK.93,JAK.93-L02,0,Kebayoran Lama,05:00:00,22:00:00
JAK.95,JAK.95-L02,0,Lebak Bulus,05:00:00,22:00:00
JAK.95,JAK.95-L02,0,Term. Lebak Bulus,05:00:00,22:00:00
JAK.95,JAK.95-L02,0,Term. Pasar Minggu,05:00:00,22:00:00
JAK.98,JAK.98-R01,0,Munjul,05:00:00,22:00:00
JAK.98,JAK.98-R01,0,Term. Kampung Rambutan,05:00:00,22:00:00
JAK.98,JAK.98-R02,1,Munjul,05:00:00,22:00:00
JAK.98,JAK.98-R02,1,Term. Kampung Rambutan,05:00:00,22:00:00
JAK.99,JAK.99-L01,0,Lampiri,05:00:00,22:00:00
JAK.99,JAK.99-L01,0,Term. Pulo Gadung,05:00:00,22:00:00
JAK.78A,JAK.78A-L01,0,Benda,05:00:00,22:00:00
JAK.78A,JAK.78A-L01,0,Cengkareng Timur,05:00:00,22:00:00
JAK.78B,JAK.78B-L03,0,Teluk Gong,05:00:00,22:00:00
JAK.78B,JAK.78B-L03,1,Jembatan Tiga,05:00:00,22:00:00
